Nr 	Pit	Name	Age	Horizon	BD_nr	Dish_weight	Wet_soil_dish	Wet_soil_weight	Dry_soil _dish	Dry_soil	Stones_weight	Volume	Stones_density	Stones volume	g/cm_soil_density	g/cm_Bulk_Density	Moisture
445	8	DRUM 	V.OLD	B	BD2	8.82	112.72	103.9	108.35	99.53	50.94	100	2.170176212	23.4727483	0.4859	0.634937214	4.390635989
446	8	DRUM 	V.OLD	B	BD3	8.77	133.51	124.74	112.73	103.96	26.61	100	2.170176212	12.26167712	0.7735	0.881598798	19.9884571
447	8	DRUM 	V.OLD	B	BD4	8.8	140.08	131.28	125.75	116.95	76.56	100	2.170176212	35.27824127	0.4039	0.624055971	12.25309962
448	8	DRUM 	V.OLD	B	BD5	8.63	122.48	113.85	107.62	98.99	49.49	100	2.170176212	22.80459979	0.495	0.641229916	15.01161734
449	2	TULL 	V.OLD	E	BD1	8.83	63.57	54.74	56.06	47.23	27.49	100	2.170176212	12.66717414	0.1974	0.226031848	15.90091044
450	2	TULL 	V.OLD	E	BD2	8.42	80.71	72.29	69.57	61.15	18.49	100	2.170176212	8.520045468	0.4266	0.46633167	18.21749796
451	2	TULL 	V.OLD	E	BD3	8.84	55.56	46.72	46.15	37.31	20.46	100	2.170176212	9.427805855	0.1685	0.186039437	25.22112034
452	2	TULL 	V.OLD	E	BD4	8.8	71.14	62.34	61.62	52.82	12.25	100	2.170176212	5.644702919	0.4057	0.429970561	18.02347596
453	2	TULL 	V.OLD 	E	BD5	8.4	120.5	112.1	107.57	99.17	24.9	100	2.170176212	11.47372267	0.7427	0.838959936	13.0382172
454	2	TULL 	V.OLD	Bhs	BD1	8.71	93.71	85	76.77	68.06	20.76	100	2.170176212	9.566043478	0.473	0.523033624	24.88980311
455	2	TULL 	V.OLD	Bhs	BD2	8.54	103.61	95.07	77.36	68.82	26.81	100	2.170176212	12.35383553	0.4201	0.479313616	38.14298169
456	2	TULL 	V.OLD	Bhs	BD3	8.39	95.43	87.04	79.01	70.62	24.56	100	2.170176212	11.31705336	0.4606	0.519378322	23.25120363
457	2	TULL 	V.OLD	Bhs	BD4	8.93	113.52	104.59	90.13	81.2	39.28	100	2.170176212	18.09991271	0.4192	0.511843166	28.80541872
458	2	TULL 	V.OLD	Bhs	BD5	8.81	110.28	101.47	93.35	84.54	36.12	100	2.170176212	16.64380975	0.4842	0.580880674	20.02602318
459	7	DRUM 	GRASS	Ah_UPP	BD1	8.74	114.39	105.65	81.28	72.54	34.92	100	2.170176212	16.09085926	0.3762	0.448342096	45.64378274
460	7	DRUM 	GRASS	Ah_UPP	BD2	8.66	141.3	132.64	95.73	87.07	15.34	100	2.170176212	7.068550431	0.7173	0.771859261	52.33719995
461	7	DRUM 	GRASS	Ah_UPP	BD3	8.82	131.2	122.38	72.6	63.78	0	100	2.170176212	0	0.6378	0.6378	91.87833177
462	7	DRUM 	GRASS	Ah_UPP	BD4	8.83	125.67	116.84	79.16	70.33	11.31	100	2.170176212	5.211558369	0.5902	0.622649755	66.13109626
