Age	Live_vol_perc	Repeat	PI	PI proportion
57	53.56869027	12	0.07	3.889957534
57	53.56869027	12	0.07	3.889957534
57	53.56869027	12	0.07	3.889957534
57	53.56869027	12	0.00	0
57	53.56869027	12	0.00	0
58	55.84470833	12	0.00	0
58	55.84470833	12	0.00	0
58	55.84470833	12	0.00	0
58	55.84470833	12	0.07	4.055233436
58	55.84470833	12	0.07	4.055233436
58	55.84470833	12	0.07	4.055233436
58	55.84470833	12	0.07	4.055233436
58	55.84470833	12	0.07	4.055233436
58	55.84470833	12	0.07	4.055233436
58	55.84470833	12	0.07	4.055233436
58	55.84470833	12	0.00	0
58	55.84470833	12	0.00	0
59	58.1207264	12	0.00	0
59	58.1207264	12	0.00	0
59	58.1207264	12	0.00	0
59	58.1207264	12	0.07	4.220509339
59	58.1207264	12	0.07	4.220509339
59	58.1207264	12	0.07	4.220509339
59	58.1207264	12	0.07	4.220509339
59	58.1207264	12	0.07	4.220509339
59	58.1207264	12	0.07	4.220509339
59	58.1207264	12	0.07	4.220509339
59	58.1207264	12	0.00	0
59	58.1207264	12	0.00	0
60	60.39674447	12	0.00	0
60	60.39674447	12	0.00	0
60	60.39674447	12	0.00	0
60	60.39674447	12	0.07	4.385785241
60	60.39674447	12	0.07	4.385785241
60	60.39674447	12	0.07	4.385785241
60	60.39674447	12	0.07	4.385785241
60	60.39674447	12	0.07	4.385785241
60	60.39674447	12	0.07	4.385785241
60	60.39674447	12	0.07	4.385785241
60	60.39674447	12	0.00	0
60	60.39674447	12	0.00	0
61	62.61106325	12	0.00	0
61	62.61106325	12	0.00	0
61	62.61106325	12	0.00	0
61	62.61106325	12	0.07	4.546580773
61	62.61106325	12	0.07	4.546580773
61	62.61106325	12	0.07	4.546580773
61	62.61106325	12	0.07	4.546580773
61	62.61106325	12	0.07	4.546580773
61	62.61106325	12	0.07	4.546580773
61	62.61106325	12	0.07	4.546580773
61	62.61106325	12	0.00	0
61	62.61106325	12	0.00	0
62	64.82538203	12	0.00	0
62	64.82538203	12	0.00	0
62	64.82538203	12	0.00	0
62	64.82538203	12	0.07	4.707376304
62	64.82538203	12	0.07	4.707376304
62	64.82538203	12	0.07	4.707376304
62	64.82538203	12	0.07	4.707376304
62	64.82538203	12	0.07	4.707376304
62	64.82538203	12	0.07	4.707376304
62	64.82538203	12	0.07	4.707376304
62	64.82538203	12	0.00	0
62	64.82538203	12	0.00	0
63	67.03970081	12	0.00	0
63	67.03970081	12	0.00	0
63	67.03970081	12	0.00	0
63	67.03970081	12	0.07	4.868171836
