"Peat_amount"	"Layer"	"Year"	"DPM_pool_accummulated_SOC"	"RPM_pool_accummulated_SOC"	"BIO_pool_accummulated_SOC"	"HUM_pool_accummulated_SOC"	"Total_SOC_accummulated"	"SOC_stock_with_accummulation"
"Plus50"	"F"	22	9.27833333333333e-05	0.224072213833333	0.0126789741666667	0.4134831305	0.650327083333333	21.6026905275
"Mean"	"H"	22	0.00176083	4.43945958825	0.254547511916667	4.29722998641667	8.99299791666667	119.449092483333
"Minus50"	"H"	22	0.00165689233333333	4.43764094566667	0.254571247666667	4.29912883125	8.99299791666667	119.330288408333
"Plus50"	"H"	22	0.00186463433333333	4.441290098	0.254524531666667	4.29531865266667	8.99299791666667	119.567783541667
"Mean"	"F"	23	8.8475e-05	0.231168896166667	0.01316823925	0.434751467916667	0.679177083333333	21.3860509916667
"Minus50"	"F"	23	8.285e-05	0.231025722583333	0.0131671906666667	0.434901314916667	0.679177083333333	21.3684270575
"Plus50"	"F"	23	9.41083333333333e-05	0.2313119785	0.0131692900833333	0.434601715666667	0.679177083333333	21.4036731433333
"Mean"	"H"	23	0.0017772345	4.59707490358333	0.265362947416667	4.52773283141667	9.39194791666667	118.135451141667
"Minus50"	"H"	23	0.00166325516666667	4.59498374166667	0.26538800475	4.52991291491667	9.39194791666667	118.008500116667
"Plus50"	"H"	23	0.00189105333333333	4.59917791058333	0.265338687916667	4.52554026475	9.39194791666667	118.262285741667
"Mean"	"F"	24	8.93833333333333e-05	0.238189638916667	0.0136505584166667	0.456097503	0.708027083333333	21.1928677133333
"Minus50"	"F"	24	8.32666666666667e-05	0.238027418833333	0.0136492560833333	0.456267145833333	0.708027083333333	21.1741071125
"Plus50"	"F"	24	9.55166666666667e-05	0.238351732916667	0.0136518626666667	0.455927990916667	0.708027083333333	21.21162648
"Mean"	"H"	24	0.00179461908333333	4.75145933833333	0.276095839916667	4.76154811925	9.79089791666667	116.870144208333
"Minus50"	"H"	24	0.00167007558333333	4.74906800758333	0.27612203975	4.76403779383333	9.79089791666667	116.734914641667
"Plus50"	"H"	24	0.00191897241666667	4.75386235175	0.27607048075	4.75904611166667	9.79089791666667	117.005253958333
"Mean"	"F"	25	9.03333333333333e-05	0.2450126385	0.0141250581666667	0.477649057916667	0.736877083333333	21.0063853233333
"Minus50"	"F"	25	8.36916666666667e-05	0.244829758666667	0.0141234655833333	0.477840168416667	0.736877083333333	20.9864722541667
"Plus50"	"F"	25	9.69666666666667e-05	0.24519535125	0.01412665175	0.477458120833333	0.736877083333333	21.0262965108333
"Mean"	"H"	25	0.00181300358333333	4.90263389225	0.286743211416667	4.99865780933333	10.1898479166667	115.651560075
"Minus50"	"H"	25	0.00167736275	4.89991310775	0.286770334166667	5.00148711175	10.1898479166667	115.507928066667
"Plus50"	"H"	25	0.00194841925	4.905366037	0.286716971666667	4.99581648866667	10.1898479166667	115.795068991667
"Mean"	"F"	26	9.1325e-05	0.25164172125	0.01459171325	0.49940233125	0.765727083333333	20.82635985
"Minus50"	"F"	26	8.41416666666667e-05	0.25143650475	0.014589792	0.499616647	0.765727083333333	20.8052795075
"Plus50"	"F"	26	9.84833333333333e-05	0.251846722833333	0.0145936355	0.499188238583333	0.765727083333333	20.8474382633333
"Mean"	"H"	26	0.00183240616666667	5.05062060225	0.29730235075	5.2390425575	10.5887979166667	114.478139475
"Minus50"	"H"	26	0.00168512616666667	5.0475394055	0.29733013525	5.24224324983333	10.5887979166667	114.325988375
"Plus50"	"H"	26	0.00197942191666667	5.05371265216667	0.297275491583333	5.235830351	10.5887979166667	114.630164275
"Mean"	"F"	27	9.26333333333333e-05	0.258081834	0.0150504935	0.521352119166667	0.794577083333333	20.6559586591667
"Minus50"	"F"	27	8.4775e-05	0.257851987083333	0.0150482121666667	0.5215921305	0.794577083333333	20.6319958533333
"Plus50"	"F"	27	0.000100511666666667	0.25831140675	0.0150527751666667	0.521112392583333	0.794577083333333	20.67991949
"Mean"	"H"	27	0.001858724	5.19545970908333	0.307769988166667	5.48265949508333	10.9877479166667	113.372469658333
"Minus50"	"H"	27	0.00169632108333333	5.19197687325	0.3077985355	5.486276187	10.9877479166667	113.199641675
"Plus50"	"H"	27	0.00202080566666667	5.19895260816667	0.307742409416667	5.4790320935	10.9877479166667	113.545168333333
"Mean"	"F"	28	9.53166666666667e-05	0.264343065916667	0.01550134175	0.543487352083333	0.823427083333333	20.4977966808333
"Minus50"	"F"	28	8.605e-05	0.264083119	0.0154986976666667	0.543759214333333	0.823427083333333	20.4678162025
"Plus50"	"F"	28	0.000104579083333333	0.264602648333333	0.0155039851666667	0.543215870416667	0.823427083333333	20.52777514
"Mean"	"H"	28	0.00191396591666667	5.33727466283333	0.318140548666667	5.72936873933333	11.3866979166667	112.353378675
"Minus50"	"H"	28	0.00172198283333333	5.33329774066667	0.318171593333333	5.73350659983333	11.3866979166667	112.137578741667
"Plus50"	"H"	28	0.00210548866666667	5.34126008341667	0.318110525416667	5.72522181891667	11.3866979166667	112.56904645
"Mean"	"F"	29	9.98116666666667e-05	0.270436593166667	0.0159442916666667	0.56579638575	0.852277083333333	20.3511752075
"Minus50"	"F"	29	8.82583333333333e-05	0.270137365	0.0159412726666667	0.566110191916667	0.852277083333333	20.3122826625
"Plus50"	"F"	29	0.00011134675	0.270735301583333	0.0159473086666667	0.56548312625	0.852277083333333	20.3900656975
"Mean"	"H"	29	0.00200844675	5.4762130215	0.328410000583333	5.97901644808333	11.7856479166667	111.416096183333
"Minus50"	"H"	29	0.00176730866666667	5.47158691558333	0.328446253666667	5.98384743883333	11.7856479166667	111.136714575
"Plus50"	"H"	29	0.00224882683333333	5.480844439	0.328374841666667	5.97417980933333	11.7856479166667	111.695342916667
"Mean"	"F"	30	0.000106250666666667	0.276373737	0.0163794363333333	0.588267659416667	0.881127083333333	20.2156207183333
"Minus50"	"F"	30	9.14416666666667e-05	0.276022271416667	0.0163759964166667	0.588637381833333	0.881127083333333	20.1650538091667
"Plus50"	"F"	30	0.000121025916666667	0.276724409416667	0.0163828720833333	0.587898775833333	0.881127083333333	20.2661855325
"Mean"	"H"	30	0.00214624508333333	5.61243076008333	0.338575542666667	6.23144536875	12.1845979166667	110.557416083333
"Minus50"	"H"	30	0.001834391	5.60693420975	0.33862018675	6.23720912925	12.1845979166667	110.194769208333
"Plus50"	"H"	30	0.00245677975	5.61792644108333	0.338532101166667	6.22568259466667	12.1845979166667	110.919925541667
"Mean"	"F"	31	0.00011470225	0.282165891166667	0.0168069086666667	0.610889581416667	0.909977083333333	20.0907310991667
"Minus50"	"F"	31	9.56333333333333e-05	0.2817454315	0.0168029550833333	0.611333071	0.909977083333333	20.0258276833333
"Plus50"	"F"	31	0.00013370725	0.282585085083333	0.0168108546666667	0.610447436416667	0.909977083333333	20.15563239
"Mean"	"H"	31	0.00232946466666667	5.74609040325	0.348635186333333	6.48649286258333	12.5835479166667	109.774664533333
"Minus50"	"H"	31	0.00192435308333333	5.73943350858333	0.348691573333333	6.49349848166667	12.5835479166667	109.309750866667
"Plus50"	"H"	31	0.00273229133333333	5.75273513916667	0.348580165416667	6.47950032091667	12.5835479166667	110.239438391667
